"","V1"
"38","Sfla.augustus_masked-scaffold02872-abinit-gene-0.0-mRNA-1_AED:0.29_eAED:0.29_QI:0_0_0_0.9_1_1_10_0_780;Sfla.augustus_masked-scaffold02996-abinit-gene-0.1-mRNA-1_AED:0.10_eAED:0.10_QI:0_0_0_1_1_1_4_0_492;Sfla.augustus_masked-scaffold02515-abinit-gene-0.2-mRNA-1_AED:0.17_eAED:0.17_QI:0_0_0_0.9_1_1_10_0_780"
"39","Sfla.augustus_masked-scaffold00321-abinit-gene-0.0-mRNA-1_AED:0.36_eAED:0.36_QI:0_1_0_1_1_1_2_0_618;Sfla.augustus_masked-scaffold01625-abinit-gene-0.0-mRNA-1_AED:0.37_eAED:0.37_QI:0_0.5_0_0.66_1_1_3_0_685;Sfla.augustus_masked-scaffold01144-abinit-gene-0.0-mRNA-1_AED:0.36_eAED:0.36_QI:0_1_0_1_1_1_2_0_633"
"40","Sfla.augustus_masked-scaffold00065-abinit-gene-2.13-mRNA-1_AED:0.31_eAED:0.31_QI:0_0_0_1_1_1_2_0_499;Sfla.augustus_masked-scaffold00065-abinit-gene-2.14-mRNA-1_AED:0.37_eAED:0.37_QI:0_0.25_0_0.8_1_1_5_0_742;Sfla.augustus_masked-scaffold05147-abinit-gene-0.0-mRNA-1_AED:0.06_eAED:0.06_QI:0_0_0_1_1_1_2_0_499"
"41","Sfla.augustus_masked-scaffold00144-abinit-gene-0.9-mRNA-1_AED:0.43_eAED:0.43_QI:0_-1_0_1_-1_1_1_0_482;Sfla.augustus_masked-scaffold01820-abinit-gene-0.4-mRNA-1_AED:0.42_eAED:0.42_QI:0_-1_0_1_-1_1_1_0_482;Sfla.augustus_masked-scaffold00144-abinit-gene-0.8-mRNA-1_AED:0.44_eAED:0.44_QI:0_-1_0_1_-1_1_1_0_472"
"42","Sfla.augustus_masked-scaffold02145-abinit-gene-0.0-mRNA-1_AED:0.33_eAED:0.36_QI:0_-1_0_1_-1_1_1_0_538;Sfla.augustus_masked-scaffold02145-abinit-gene-0.1-mRNA-1_AED:0.30_eAED:0.30_QI:0_0_0_1_1_1_2_0_623;Sfla.augustus_masked-scaffold00249-abinit-gene-0.2-mRNA-1_AED:0.19_eAED:0.19_QI:0_-1_0_1_-1_1_1_0_538"
"43","Sfla.augustus_masked-scaffold00187-abinit-gene-0.7-mRNA-1_AED:0.00_eAED:0.00_QI:0_-1_0_1_-1_1_1_0_450;Sfla.augustus_masked-scaffold03651-abinit-gene-0.2-mRNA-1_AED:0.25_eAED:0.25_QI:0_-1_0_1_-1_1_1_0_450;Sfla.augustus_masked-scaffold03651-abinit-gene-0.1-mRNA-1_AED:0.25_eAED:0.25_QI:0_-1_0_1_-1_1_1_0_450"
"44","Sfla.augustus_masked-scaffold03371-abinit-gene-0.0-mRNA-1_AED:0.05_eAED:0.05_QI:0_0.25_0_1_1_1_5_0_507;Sfla.augustus_masked-scaffold05055-abinit-gene-0.0-mRNA-1_AED:0.07_eAED:0.07_QI:0_0.2_0_1_1_1_6_0_582;Sfla.augustus_masked-scaffold00216-abinit-gene-0.22-mRNA-1_AED:0.09_eAED:0.09_QI:0_0.4_0.16_0.83_1_1_6_0_521"
"45","Sfla.augustus_masked-scaffold00269-abinit-gene-0.4-mRNA-1_AED:0.42_eAED:0.42_QI:0_0_0_1_1_1_3_0_537;Sfla.augustus_masked-scaffold00269-abinit-gene-0.5-mRNA-1_AED:0.42_eAED:0.42_QI:0_0_0_1_1_1_3_0_537;Sfla.augustus_masked-scaffold00269-abinit-gene-0.3-mRNA-1_AED:0.42_eAED:0.42_QI:0_0_0_1_1_1_3_0_575"
"46","Sfla.augustus_masked-scaffold00011-abinit-gene-1.3-mRNA-1_AED:0.39_eAED:0.39_QI:0_1_0.2_1_1_1_5_0_478;Sfla.augustus_masked-scaffold05394-abinit-gene-0.0-mRNA-1_AED:0.08_eAED:0.08_QI:0_1_0.2_1_1_1_5_0_478;Sfla.augustus_masked-scaffold00011-abinit-gene-1.1-mRNA-1_AED:0.39_eAED:0.39_QI:0_1_0.2_1_1_1_5_0_478"
"47","Sfla.augustus_masked-scaffold00042-abinit-gene-3.15-mRNA-1_AED:0.33_eAED:0.33_QI:0_1_0.4_1_1_1_5_0_493;Sfla.augustus_masked-scaffold00042-abinit-gene-3.16-mRNA-1_AED:0.33_eAED:0.33_QI:0_0.75_0.4_1_1_1_5_0_521;Sfla.augustus_masked-scaffold05617-abinit-gene-0.0-mRNA-1_AED:0.05_eAED:0.05_QI:0_0.66_0.25_1_1_1_4_0_460"
"48","Sfla.augustus_masked-scaffold00397-abinit-gene-0.9-mRNA-1_AED:0.36_eAED:0.36_QI:0_0_0_1_1_1_6_0_532;Sfla.augustus_masked-scaffold02874-abinit-gene-0.0-mRNA-1_AED:0.29_eAED:0.29_QI:0_0_0_1_1_1_6_0_469;Sfla.augustus_masked-scaffold00397-abinit-gene-0.8-mRNA-1_AED:0.36_eAED:0.36_QI:0_0_0_1_1_1_6_0_532"
"49","Sfla.augustus_masked-scaffold01353-abinit-gene-0.2-mRNA-1_AED:0.04_eAED:0.04_QI:0_0_0_0.92_1_1_13_0_2040;Sfla.augustus_masked-scaffold03034-abinit-gene-0.0-mRNA-1_AED:0.29_eAED:0.29_QI:0_0_0_0.8_1_1_5_0_703;Sfla.augustus_masked-scaffold00989-abinit-gene-0.0-mRNA-1_AED:0.32_eAED:0.32_QI:0_0_0_0.92_1_1_13_0_2040"
"50","Dgri.FBpp0146883;Dgri.FBpp0146884;Dgri.FBpp0146885;Dgri.FBpp0148027"
"51","Dmoj.FBpp0167524;Dmoj.FBpp0170110;Dmoj.FBpp0170111;Dmoj.FBpp0167525"
"52","Dpse.FBpp0282794;Dpse.FBpp0282795;Dpse.FBpp0282796;Dpse.FBpp0282797"
"53","Dpse.FBpp0297001;Dpse.FBpp0297002;Dpse.FBpp0297003;Dpse.FBpp0297000"
"54","Dyak.FBpp0271376;Dyak.FBpp0271377;Dyak.FBpp0271378;Dyak.FBpp0271375"
"55","Sfla.augustus_masked-scaffold00027-abinit-gene-4.14-mRNA-1_AED:0.81_eAED:0.81_QI:0_0_0_0.75_1_1_4_0_654;Sfla.augustus_masked-scaffold00321-abinit-gene-0.4-mRNA-1_AED:1.00_eAED:1.00_QI:0_0_0_0_1_1_3_0_515;Sfla.augustus_masked-scaffold01769-abinit-gene-0.0-mRNA-1_AED:1.00_eAED:1.00_QI:0_0_0_0_1_1_2_0_478;Sfla.augustus_masked-scaffold00716-abinit-gene-0.1-mRNA-1_AED:1.00_eAED:1.00_QI:0_-1_0_0_-1_1_1_0_573"
"56","Sfla.augustus_masked-scaffold00362-abinit-gene-0.3-mRNA-1_AED:0.31_eAED:0.31_QI:0_-1_0_1_-1_1_1_0_480;Sfla.augustus_masked-scaffold01623-abinit-gene-0.2-mRNA-1_AED:0.31_eAED:0.31_QI:0_-1_0_1_-1_1_1_0_480;Sfla.augustus_masked-scaffold02033-abinit-gene-0.0-mRNA-1_AED:0.31_eAED:0.31_QI:0_-1_0_1_-1_1_1_0_480;Sfla.augustus_masked-scaffold00146-abinit-gene-1.1-mRNA-1_AED:0.31_eAED:0.31_QI:0_-1_0_1_-1_1_1_0_480"
"57","Sfla.augustus_masked-scaffold00333-abinit-gene-0.0-mRNA-1_AED:1.00_eAED:1.00_QI:0_0_0_0_1_1_4_0_520;Sfla.augustus_masked-scaffold00352-abinit-gene-0.1-mRNA-1_AED:1.00_eAED:1.00_QI:0_0_0_0_1_1_3_0_549;Sfla.augustus_masked-scaffold01011-abinit-gene-0.2-mRNA-1_AED:1.00_eAED:1.00_QI:0_0_0_0_1_1_3_0_549;Sfla.augustus_masked-scaffold02131-abinit-gene-0.0-mRNA-1_AED:1.00_eAED:1.00_QI:0_0_0_0_1_1_3_0_549"
"58","Sfla.augustus_masked-scaffold00050-abinit-gene-2.10-mRNA-1_AED:0.42_eAED:0.42_QI:0_-1_0_1_-1_1_1_0_639;Sfla.augustus_masked-scaffold00050-abinit-gene-2.11-mRNA-1_AED:0.42_eAED:0.42_QI:0_-1_0_1_-1_1_1_0_639;Sfla.augustus_masked-scaffold00050-abinit-gene-2.9-mRNA-1_AED:0.42_eAED:0.42_QI:0_-1_0_1_-1_1_1_0_639;Sfla.augustus_masked-scaffold00050-abinit-gene-2.8-mRNA-1_AED:0.44_eAED:0.44_QI:0_-1_0_1_-1_1_1_0_508"
"59","Dgri.FBpp0148015;Dgri.FBpp0148115;Dgri.FBpp0157499;Dgri.FBpp0157502;Dgri.FBpp0148017"
"60","Sfla.augustus_masked-scaffold00126-abinit-gene-0.10-mRNA-1_AED:0.39_eAED:0.39_QI:0_0.5_0_1_1_1_3_0_521;Sfla.augustus_masked-scaffold00126-abinit-gene-0.11-mRNA-1_AED:0.39_eAED:0.39_QI:0_0.5_0_1_1_1_3_0_523;Sfla.augustus_masked-scaffold00126-abinit-gene-0.8-mRNA-1_AED:0.27_eAED:0.27_QI:0_0.5_0.33_1_1_1_3_0_526;Sfla.augustus_masked-scaffold00126-abinit-gene-0.9-mRNA-1_AED:0.38_eAED:0.38_QI:0_0.5_0_1_1_1_3_0_524;Sfla.augustus_masked-scaffold00126-abinit-gene-0.7-mRNA-1_AED:0.27_eAED:0.27_QI:0_0_0_1_1_1_3_0_522"
"61","Sfla.augustus_masked-scaffold00618-abinit-gene-0.1-mRNA-1_AED:1.00_eAED:1.00_QI:0_0_0_0_1_1_2_0_439;Sfla.augustus_masked-scaffold00923-abinit-gene-0.2-mRNA-1_AED:1.00_eAED:1.00_QI:0_0_0_0_1_1_2_0_439;Sfla.augustus_masked-scaffold01593-abinit-gene-0.0-mRNA-1_AED:1.00_eAED:1.00_QI:0_0_0_0_1_1_2_0_439;Sfla.augustus_masked-scaffold02083-abinit-gene-0.0-mRNA-1_AED:1.00_eAED:1.00_QI:0_0_0_0_1_1_2_0_439;Sfla.augustus_masked-scaffold02257-abinit-gene-0.0-mRNA-1_AED:1.00_eAED:1.00_QI:0_0_0_0_1_1_2_0_439;Sfla.augustus_masked-scaffold01368-abinit-gene-0.0-mRNA-1_AED:1.00_eAED:1.00_QI:0_0_0_0_1_1_2_0_439"
"62","Dpse.FBpp0272073;Dpse.FBpp0272074;Dpse.FBpp0285881;Dpse.FBpp0285883;Dpse.FBpp0288114;Dpse.FBpp0288115;Dpse.FBpp0288116;Dpse.FBpp0285315"
"63","Dsuz.DS10_00002386;Dsuz.DS10_00002387;Dsuz.DS10_00002385"
"64","Dmoj.FBpp0159527;Dmoj.FBpp0161785;Dmoj.FBpp0161969;Dmoj.FBpp0161993;Dmoj.FBpp0167144;Dmoj.FBpp0172743;Dmoj.FBpp0173786;Dmoj.FBpp0173959;Dmoj.FBpp0163897"
"65","Dgri.FBpp0145531;Dgri.FBpp0146355;Dgri.FBpp0149605;Dgri.FBpp0149628;Dgri.FBpp0149695;Dgri.FBpp0152790;Dgri.FBpp0153216;Dgri.FBpp0156331;Dgri.FBpp0157728;Dgri.FBpp0157114"
"66","Dbia.DBIA004032-PA;Dbia.DBIA006419-PA;Dbia.DBIA001115-PA"
"67","Dpse.FBpp0277105;Dpse.FBpp0277344;Dpse.FBpp0283624;Dpse.FBpp0274527"
"68","Dyak.FBpp0265448;Dyak.FBpp0265733;Dyak.FBpp0270276;Dyak.FBpp0269124"
"69","Sfla.augustus_masked-scaffold00026-abinit-gene-4.13-mRNA-1_AED:0.05_eAED:0.05_QI:0_0_0_1_1_1_27_0_4004;Sfla.augustus_masked-scaffold00086-abinit-gene-0.12-mRNA-1_AED:0.03_eAED:0.03_QI:0_0.30_0.21_1_1_1_14_0_4650;Sfla.augustus_masked-scaffold00115-abinit-gene-1.4-mRNA-1_AED:0.07_eAED:0.08_QI:0_0_0_0.96_1_1_33_0_4539;Sfla.augustus_masked-scaffold00119-abinit-gene-1.0-mRNA-1_AED:0.04_eAED:0.04_QI:0_0_0_1_1_1_30_0_4828;Sfla.augustus_masked-scaffold00157-abinit-gene-1.0-mRNA-1_AED:0.04_eAED:0.04_QI:0_0_0_1_1_1_27_0_4497;Sfla.augustus_masked-scaffold00291-abinit-gene-0.0-mRNA-1_AED:0.09_eAED:0.09_QI:0_0.03_0.01_1_1_1_53_0_4387;Sfla.augustus_masked-scaffold00338-abinit-gene-0.8-mRNA-1_AED:0.06_eAED:0.06_QI:0_0.05_0_0.95_1_1_21_0_3858;Sfla.augustus_masked-scaffold00694-abinit-gene-0.1-mRNA-1_AED:0.06_eAED:0.06_QI:0_0_0_1_1_1_37_0_4429;Sfla.augustus_masked-scaffold00253-abinit-gene-0.1-mRNA-1_AED:0.06_eAED:0.06_QI:0_0.66_0_1_1_1_13_0_4642"
"70","Dgri.FBpp0153130;Dgri.FBpp0153131;Dgri.FBpp0145276"
"71","Dmoj.FBpp0162444;Dmoj.FBpp0168788;Dmoj.FBpp0162442"
"72","Dpse.FBpp0293927;Dpse.FBpp0293928;Dpse.FBpp0293929;Dpse.FBpp0293931;Dpse.FBpp0293932;Dpse.FBpp0293930;Dmel.FBgn0259244,FBpp0292667,FBtr0303650"
"73","Dpse.FBpp0277830;Dpse.FBpp0277831;Dpse.FBpp0277829"
"74","Dpse.FBpp0291276;Dpse.FBpp0297966;Dpse.FBpp0297967;Dmel.FBgn0011725,FBpp0083954,FBtr0084569"
"75","Dpse.FBpp0306484;Dpse.FBpp0306485;Dpse.FBpp0306486;Dpse.FBpp0306483"
"76","Dyak.FBpp0264104;Dyak.FBpp0268206;Dyak.FBpp0268211;Dyak.FBpp0260091;Dmel.FBgn0036868,FBpp0303313,FBtr0330281"
"77","Sfla.augustus_masked-scaffold00414-abinit-gene-0.5-mRNA-1_AED:0.06_eAED:0.10_QI:0_-1_0_1_-1_1_1_0_464;Sfla.augustus_masked-scaffold00566-abinit-gene-0.0-mRNA-1_AED:0.32_eAED:0.35_QI:0_0_0_0.66_1_1_3_0_626;Sfla.augustus_masked-scaffold00637-abinit-gene-0.1-mRNA-1_AED:0.19_eAED:0.22_QI:0_0_0_0.5_1_1_2_0_647;Sfla.augustus_masked-scaffold01429-abinit-gene-0.0-mRNA-1_AED:0.19_eAED:0.22_QI:0_0_0_0.5_1_1_2_0_647;Sfla.augustus_masked-scaffold00447-abinit-gene-0.1-mRNA-1_AED:0.19_eAED:0.22_QI:0_0_0_0.5_1_1_2_0_647"
"78","Dbia.DBIA001630-PA;Dbia.DBIA001888-PA;Dbia.DBIA002848-PA;Dbia.DBIA005203-PA;Dbia.DBIA009428-PA;Dbia.DBIA009646-PA;Dbia.DBIA010038-PA;Dbia.DBIA014273-PA;Dbia.DBIA001330-PA"
"79","Dsuz.DS10_00009707;Dsuz.DS10_00012532;Dsuz.DS10_00001953"
"80","Dsuz.DS10_00003712;Dsuz.DS10_00007225;Dsuz.DS10_00005650"
"81","Sfla.augustus_masked-scaffold00048-abinit-gene-0.4-mRNA-1_AED:0.10_eAED:0.10_QI:0_0_0_0.95_1_1_22_0_2191;Sfla.augustus_masked-scaffold00564-abinit-gene-0.2-mRNA-1_AED:0.24_eAED:0.25_QI:0_0.18_0.03_0.89_1_1_55_0_4812;Sfla.augustus_masked-scaffold00030-abinit-gene-4.10-mRNA-1_AED:0.21_eAED:0.21_QI:0_0.27_0.13_0.93_1_1_45_0_4111;Sfla.augustus_masked-scaffold00046-abinit-gene-3.5-mRNA-1_AED:0.12_eAED:0.13_QI:0_0.03_0_0.96_1_1_32_0_2086;Sfla.augustus_masked-scaffold00239-abinit-gene-0.0-mRNA-1_AED:0.06_eAED:0.07_QI:0_0_0_1_1_1_24_0_1667"
"82","Dgri.FBpp0153517;Dgri.FBpp0153518;Dgri.FBpp0157180"
"83","Dgri.FBpp0143975;Dgri.FBpp0147331;Dgri.FBpp0143976"
"84","Dpse.FBpp0307497;Dpse.FBpp0307498;Dpse.FBpp0307496"
"85","Dpse.FBpp0280918;Dpse.FBpp0280919;Dpse.FBpp0280917"
"86","Dpse.FBpp0301640;Dpse.FBpp0301641;Dpse.FBpp0301639"
"87","Dpse.FBpp0278998;Dpse.FBpp0278999;Dpse.FBpp0278338"
"88","Dsuz.DS10_00011169;Dsuz.DS10_00012678;Dmel.FBgn0036782,FBpp0301841,FBtr0310156"
"89","Dsuz.DS10_00006854;Dsuz.DS10_00008377;Dmel.FBgn0030500,FBpp0073681,FBtr0073850"
"90","Dyak.FBpp0267361;Dyak.FBpp0267972;Dmel.FBgn0037064,FBpp0078069,FBtr0078415"
"91","Dyak.FBpp0267325;Dyak.FBpp0267720;Dmel.FBgn0037100,FBpp0078034,FBtr0078379"
"92","Dyak.FBpp0270743;Dyak.FBpp0270746;Dmel.FBgn0038887,FBpp0112173,FBtr0113261"
"93","Dyak.FBpp0267250;Dyak.FBpp0268153;Dmel.FBgn0036500,FBpp0075302,FBtr0075547"
"94","Dyak.FBpp0267281;Dyak.FBpp0268170;Dmel.FBgn0036529,FBpp0075331,FBtr0075578"
"95","Dyak.FBpp0264794;Dyak.FBpp0268039;Dmel.FBgn0037115,FBpp0078083,FBtr0078429"
"96","Dyak.FBpp0267405;Dyak.FBpp0267751;Dmel.FBgn0037000,FBpp0077878,FBtr0078220"
"97","Dyak.FBpp0267525;Dyak.FBpp0267929;Dmel.FBgn0026630,FBpp0074786,FBtr0075019"
"98","Dyak.FBpp0264523;Dyak.FBpp0267715;Dmel.FBgn0037147,FBpp0113038,FBtr0114546"
"99","Sfla.augustus_masked-scaffold00272-abinit-gene-0.0-mRNA-1_AED:0.30_eAED:0.30_QI:0_-1_0_1_-1_1_1_0_486;Sfla.augustus_masked-scaffold00272-abinit-gene-0.1-mRNA-1_AED:0.20_eAED:0.20_QI:0_0.25_0_0.8_1_1_5_0_892;Sfla.augustus_masked-scaffold00899-abinit-gene-0.2-mRNA-1_AED:0.17_eAED:0.17_QI:0_0.8_0.33_1_1_1_6_0_1082"
"100","Sfla.augustus_masked-scaffold02454-abinit-gene-0.0-mRNA-1_AED:0.34_eAED:0.34_QI:0_0_0_0.75_1_1_4_0_846;Sfla.augustus_masked-scaffold02698-abinit-gene-0.0-mRNA-1_AED:0.30_eAED:0.31_QI:0_0_0_1_1_1_2_0_499;Sfla.augustus_masked-scaffold01101-abinit-gene-0.1-mRNA-1_AED:0.26_eAED:0.38_QI:0_0_0_0.85_1_1_7_0_1079"
"101","Sfla.augustus_masked-scaffold04657-abinit-gene-0.0-mRNA-1_AED:1.00_eAED:1.00_QI:0_-1_0_0_-1_1_1_0_824;Sfla.augustus_masked-scaffold04657-abinit-gene-0.1-mRNA-1_AED:1.00_eAED:1.00_QI:0_-1_0_0_-1_1_1_0_993;Sfla.augustus_masked-scaffold01258-abinit-gene-0.2-mRNA-1_AED:1.00_eAED:1.00_QI:0_0_0_0_1_1_4_0_1651"
"102","Sfla.augustus_masked-scaffold00094-abinit-gene-0.3-mRNA-1_AED:0.30_eAED:0.33_QI:0_0.6_0.16_0.83_1_1_6_0_511;Sfla.augustus_masked-scaffold05372-abinit-gene-0.0-mRNA-1_AED:0.08_eAED:0.08_QI:0_0.75_0.2_1_1_1_5_0_477;Sfla.augustus_masked-scaffold00094-abinit-gene-0.2-mRNA-1_AED:0.27_eAED:0.27_QI:0_1_0.2_1_1_1_5_0_582"
"103","Dpse.FBpp0276240;Dpse.FBpp0307504;Dpse.FBpp0307505;Dpse.FBpp0307506;Dpse.FBpp0307507;Dpse.FBpp0307508;Dpse.FBpp0307509;Dpse.FBpp0307510;Dmel.FBgn0263077,FBpp0297794,FBtr0306941"
"104","Dbia.DBIA009436-PA;Dbia.DBIA011281-PA;Dbia.DBIA011282-PA;Dbia.DBIA002486-PA"
"105","Dgri.FBpp0150188;Dgri.FBpp0150189;Dgri.FBpp0155696;Dgri.FBpp0155508"
"106","Dgri.FBpp0149427;Dgri.FBpp0149537;Dgri.FBpp0159147;Dgri.FBpp0149647"
"107","Dpse.FBpp0277151;Dpse.FBpp0277162;Dpse.FBpp0278661;Dpse.FBpp0276748"
"108","Dsuz.DS10_00012002;Dsuz.DS10_00012005;Dmel.FBgn0038811,FBpp0291529,FBtr0302323;Dsuz.DS10_00012001"
"109","Dyak.FBpp0268846;Dyak.FBpp0270209;Dyak.FBpp0270210;Dyak.FBpp0263548"
"110","Dyak.FBpp0258418;Dyak.FBpp0265499;Dyak.FBpp0258578;Dyak.FBpp0265500"
"111","Dpse.FBpp0279514;Dpse.FBpp0280228;Dpse.FBpp0280229;Dpse.FBpp0283176;Dpse.FBpp0283177;Dpse.FBpp0284695;Dpse.FBpp0301677;Dpse.FBpp0284228;Dpse.FBpp0276924"
"112","Dgri.FBpp0144792;Dgri.FBpp0144793;Dgri.FBpp0148205;Dgri.FBpp0148206;Dgri.FBpp0151234;Dgri.FBpp0151235;Dgri.FBpp0156977;Dgri.FBpp0157237;Dgri.FBpp0152687;Dgri.FBpp0152686;Dgri.FBpp0155218"
"113","Dgri.FBpp0147469;Dgri.FBpp0148841;Dgri.FBpp0149406;Dgri.FBpp0151396;Dgri.FBpp0154649"
"114","Dmel.FBgn0033159,FBpp0297683,FBtr0306767;Dmel.FBgn0263218,FBpp0303369,FBtr0330337;Dmel.FBgn0263219,FBpp0305766,FBtr0333589;Dmel.FBgn0261046,FBpp0303244,FBtr0330211"
"115","Dbia.DBIA006167-PA;Dbia.DBIA004359-PA;Dbia.DBIA004363-PA;Dmel.FBgn0025454,FBpp0087100,FBtr0087992"
"116","Dgri.FBpp0146024;Dgri.FBpp0146026;Dgri.FBpp0146498;Dgri.FBpp0146265"
"117","Dmoj.FBpp0160584;Dmoj.FBpp0163144;Dmoj.FBpp0163161;Dmoj.FBpp0160602"
"118","Dpse.FBpp0285436;Dpse.FBpp0285437;Dpse.FBpp0285438;Dpse.FBpp0287870"
"119","Dpse.FBpp0283523;Dpse.FBpp0297004;Dpse.FBpp0297005;Dpse.FBpp0297006;Dpse.FBpp0297009;Dmel.FBgn0001235,FBpp0081732,FBtr0082255"
"120","Dmoj.FBpp0159509;Dmoj.FBpp0159546;Dmoj.FBpp0159613;Dmoj.FBpp0159614;Dmoj.FBpp0162236;Dmoj.FBpp0159510;Dmoj.FBpp0159511;Dmoj.FBpp0171889;Dmoj.FBpp0171888;Dmoj.FBpp0168962"
"121","Dpse.FBpp0307080;Dpse.FBpp0307081;Dpse.FBpp0307082;Dpse.FBpp0307083;Dpse.FBpp0307084;Dpse.FBpp0307085;Dpse.FBpp0307086;Dpse.FBpp0307088;Dpse.FBpp0307089;Dpse.FBpp0307090;Dpse.FBpp0307091;Dmel.FBgn0259211,FBpp0288984,FBtr0299706"
